"CT","mx_mean","mx_lb","mx_ub","mx_se"
185.16,54.54,37.3,79.07,10.92
185.17,49.54,32.79,73.17,10.54
185.18,43.75,27.96,66.99,9.48
185.19,49.3,32.13,74.15,10.55
185.2,51.38,35.02,75.85,10.34
185.21,57.42,39.96,80.34,10.47
186.01,57.39,39.45,81.68,10.91
186.02,48.45,32.93,71,9.22
186.05,46.84,31.57,67.16,8.83
186.06,48.94,33.12,71.91,10.33
186.07,56.59,37.62,80.78,11.04
186.08,58.68,40.75,83.01,10.99
187.03,52.81,34.12,80.3,12.06
