"CT","mx_mean","mx_lb","mx_ub","mx_se"
122,0.22,0.04,0.7,0.22
130.03,0.71,0.11,2.53,0.83
131,0.23,0.04,0.69,0.2
132,0.26,0.02,1.13,0.46
133.01,0.32,0.02,1.46,0.43
133.02,0.15,0.01,0.71,0.2
134,0.18,0.03,0.62,0.2
135,0.39,0.07,1.33,0.39
140.02,0.13,0.03,0.38,0.1
140.03,0.17,0.04,0.53,0.12
140.04,0.2,0.02,0.78,0.24
141.01,0.25,0.03,1.02,0.27
142.01,0.12,0.01,0.46,0.15
142.02,0.31,0.03,1.22,0.45
