"CT","mx_mean","mx_ub","mx_lb","mx_se"
112,12.03,29.11,4.03,6.51
113,9.44,20.38,3.76,4.3
114.01,13.76,36.94,3.81,9
114.02,9.59,23.53,3.01,5.29
115,15.79,33.27,6.33,6.97
116,12.04,25.9,4.49,5.59
117,11.59,23.8,4.7,5.07
118,9.76,19.91,4.05,4.15
120,16.33,34.47,6.13,7.61
121,15.64,34.06,6.19,7.15
122,10.01,23.42,3.31,5.28
130.03,15.98,31.17,7.09,6.26
131,10.61,18.99,5.25,3.57
132,13.17,30.5,4.52,6.75
133.01,16.18,35.94,5.97,7.83
133.02,12.22,26.49,4.76,5.56
134,13.23,26.39,5.6,5.39
135,17.19,34.81,7.43,6.94
140.02,13.02,27.32,5.19,5.82
140.03,20.16,41.71,8.21,8.92
140.04,23.12,51.89,8.32,11.41
141.01,16.14,30.94,6.96,6.38
142.01,13.78,29.85,5.23,6.51
142.02,10.88,25.3,3.6,5.74
142.03,10.5,22.05,4.09,4.79
143.01,15.1,32.75,5.77,7.08
143.02,18.55,35.08,8.71,6.78
143.03,10.67,23.46,3.83,5.22
144.04,17.01,35.88,6.73,7.53
144.06,13.67,26.49,5.9,5.41
145.01,16.37,33.05,6.96,6.83
145.02,11.94,29.18,3.83,6.76
146,17.14,35.26,7.12,7.35
147.01,12.58,26.19,5.27,5.32
147.09,13.58,27.33,5.67,5.64
148,12.71,24.8,5.55,5.05
149.02,13.31,30.4,4.49,7.01
149.05,10.27,25.9,2.98,6.15
149.08,11.08,22.82,4.5,4.78
149.09,8.43,20.8,2.4,4.89
150,17.08,44.49,4.68,10.8
151.03,48.4,99.15,20.11,20.93
151.05,22.87,45.81,9.8,9.26
151.07,4.75,10.52,1.81,2.29
151.08,15.79,32.77,6.36,7.09
160.01,21.09,44.71,8.61,9.49
160.02,6.53,14.45,2.39,3.19
160.03,10.08,20.83,3.9,4.56
160.04,10.77,24.16,3.63,5.41
161.02,12.98,28.53,4.74,6.43
161.03,12.25,25.96,4.68,5.65
161.05,14.25,31.76,5.18,6.86
161.06,5.62,13.74,1.69,3.17
161.08,8.66,24.74,1.81,8
161.09,9.01,19.76,3.39,4.3
162.01,16.13,33.78,6.4,7.32
162.02,10.05,23.14,3.36,5.39
162.03,11.49,25.22,4.21,5.58
162.04,8.86,20.59,3.02,4.6
163.01,21.01,46.22,8.07,9.91
163.04,18.74,39.56,7.35,8.52
163.05,12.98,29.53,4.56,6.55
163.06,21.65,47.85,7.98,10.4
163.07,9.18,21.59,2.91,4.99
163.08,38.25,79.41,15.3,16.59
170.03,5.86,12.98,2.04,2.92
170.04,8.8,18.22,3.53,3.8
170.05,17.91,37.66,7.13,8.07
170.07,4.94,10.73,1.89,2.32
180.01,20.75,47.29,7.22,10.37
180.04,10.41,21.5,4.44,4.41
181.03,24.64,49.41,10.35,10.5
181.05,4.42,9.41,1.74,2.05
181.07,14.17,32.08,4.83,7.09
181.08,36.2,73.22,14.68,15.69
181.09,7.89,17.74,2.9,3.88
181.11,4.49,11.61,1.31,2.8
181.12,56.9,108.99,25.91,21.44
181.13,7.1,14.51,2.81,3.04
