"CT","mx_mean","mx_ub","mx_lb","mx_se"
39.01,387.46,575.85,245.52,85.4
39.02,360.24,520.78,238.57,72.54
40.01,265.15,409.8,158.76,64.25
40.02,305.76,464.32,189.36,69.9
41.01,315.91,470.35,200.86,69.61
41.02,286.93,426.08,182.1,63.2
42,227.23,342.23,143.3,51.45
43.02,222.33,344.71,135.47,53.19
44,226.67,343.83,145.04,50.62
45.01,284.35,444.06,172.36,70.58
45.02,265.26,407.54,163.61,63.5
46,301.12,469.06,187.8,72.51
47.01,310.71,457.68,199.46,65.22
48,312.87,475.08,196.54,71.28
49.01,425.58,649.25,267.49,98.31
49.02,196.38,302.97,121.06,47.2
50.02,309.05,448.95,203.23,62.78
50.03,392.94,584.32,251.91,86.57
50.04,278.92,438.69,168.69,69.81
51.01,253.6,384.25,160.01,58.16
51.02,253.85,378.61,162.13,56.1
52.01,274.94,398.05,180.77,55.88
52.02,231.49,347.2,149.02,50.8
53.01,231.06,351.83,146.27,52.27
53.02,280.67,433.91,172.43,67.42
54.01,370.31,488.58,272.96,55.43
54.02,245.92,366.7,155.48,54.95
55.01,240.36,362.64,153.05,54.24
55.02,350.31,525.39,218.93,79.85
56.02,331.87,495.47,209.22,73.52
57.02,296.67,422.26,200.45,57.4
59.06,542.63,749.87,381.64,95.11
59.07,277.77,429.95,167.84,67.19
59.09,325.17,511.08,197.54,80.1
59.1,436.05,675.69,268.76,103.49
59.11,335.66,490.16,218.76,69.99
60.02,302.5,459.98,190.21,70.2
61,214.94,337.89,130.66,53.34
62,208.76,312.72,132.38,46.13
64,320.22,453.54,217.89,61.18
65,393.75,547.68,274.13,69.94
67.01,439.53,639.43,291.6,90.9
68,255.76,385.78,163.4,56.38
69.02,144.6,213.27,92.79,30.99
100.01,383.28,555.06,255.63,77.83
100.02,349.61,513.42,228.28,73.56
101.03,293.21,443.31,185.43,66.1
101.04,372.44,557.12,234.47,83.24
101.06,268.71,395.77,175.45,56.48
103,254.83,367.24,169.58,52.34
104,283.36,416.28,183.49,59.95
110.02,225.56,394.46,120.24,70.91
110.03,350.11,567.7,195.93,95.83
110.04,230.86,380.24,130.47,64.01
111.02,257,389.39,159.91,59.64
111.05,286.94,445.37,174.43,70.09
111.07,348.15,547.2,211.89,84.82
112,277.62,431.43,166.99,68.1
113,223.95,328.83,146.78,46.83
114.01,270.11,461.03,146.75,80.47
114.02,365.07,564.18,222.8,89.76
115,322.79,481.48,209.57,69.47
116,229.34,344.57,142.56,53.02
117,225.56,336.71,146.25,49.35
118,226.27,324.88,152.49,44.62
120,186.87,296.71,113.47,46.49
121,245.26,374.66,150.92,56.89
122,204.45,322.14,123.21,51.75
130.03,341.01,467.17,241.56,58.89
131,244.57,326.98,178.9,38.05
132,164.81,253.39,100.44,40.15
133.01,248.3,392.95,147.57,63.5
133.02,197.12,302.82,122.19,47.16
134,238.27,341.61,156.63,48
135,200.87,300.65,128.75,44.2
140.02,288.71,434.56,188.31,63.32
140.03,269.04,403.97,171.09,59.65
140.04,258.73,418.35,149.62,70.07
141.01,341.97,500.99,228.78,69.23
142.01,231.96,360.03,140.9,56.53
142.02,262.07,404.13,160.77,62.59
142.03,288.03,422.44,187.24,61.24
143.01,217.92,341.05,133.79,53.95
143.02,247.66,355.22,167.45,47.36
143.03,241.56,369.39,151.63,56.02
144.04,352.11,525.98,222.9,77.65
144.06,296.01,423.17,199.29,58.17
145.01,222.48,327.96,145.08,47.27
145.02,260.51,417.7,154.47,67.5
146,348.85,521.09,223.07,76.26
147.01,272.95,400.2,175.27,58.82
147.09,311,446.42,208.23,61.71
148,301.61,429.66,202.93,58.75
149.02,266.07,424.19,155.45,69.43
149.05,311.85,492,183.71,81.17
149.08,208.77,317.67,130.94,48.13
149.09,284.96,458.97,169.44,73.29
150,228.94,382.14,125.48,65.17
