"CT","mx_mean","mx_ub","mx_lb","mx_se"
110.02,37.69,97.27,9.93,23.52
110.03,45.54,121.85,11.45,30.42
110.04,159.86,333.34,63.34,71.87
111.02,47.87,108.79,17.22,23.78
111.05,26.68,69.67,7.57,16.25
111.07,97.46,229.42,33.77,50.9
112,102.32,221.52,41.27,46.21
113,12.58,31.54,3.97,7.17
114.01,86.26,215.31,27.72,50.08
114.02,82.63,182.38,31.11,39.43
115,33.48,75.53,11.54,16.94
116,87.34,182.22,34.33,38.25
117,49.15,101.16,19.59,21.07
118,17.28,39.18,6.15,8.56
120,56.48,120.95,20.73,27.82
121,35.21,81.04,12.63,17.95
122,293.75,564.68,132.86,111.33
130.03,86.68,150.37,45.18,26.9
131,13.25,25.99,5.63,5.32
132,48.97,107.65,18.14,23.86
133.01,58.56,131.91,20.75,29.18
133.02,70.13,146.51,29.33,29.95
134,31.26,66.37,12.21,14.07
135,39.74,86.25,15.37,18.38
140.02,25.98,60.24,8.92,13.66
