"CT","mx_mean","mx_ub","mx_lb","mx_se"
141.01,22.69,36.79,12.3,6.4
142.01,35.66,62.33,17.78,11.42
142.02,24.47,46.78,11.24,9.21
142.03,25.21,43.1,13.91,7.61
143.01,31.85,58.6,15.72,10.81
143.02,35.17,55.71,20.98,9.14
143.03,30.44,52.18,15.95,9.44
144.04,41.66,68.62,23.52,11.9
144.06,21.86,37.92,11.21,6.93
145.01,27.25,46.18,14.82,8.22
145.02,25.95,49.84,11.88,10.03
146,41.1,72.15,21.3,13.31
147.01,24.96,43.47,13.45,7.64
147.09,28.6,46.14,16.62,7.68
148,76.59,114.19,49.34,16.43
149.02,28.88,54.62,13.4,10.74
149.05,39.73,75.01,18.68,14.57
149.08,38.22,62.95,21.66,10.76
149.09,39.74,73.67,18.94,14.76
150,36.16,71.2,15.31,14.76
151.03,37.87,69.84,18.28,13.3
151.05,53.14,85.09,31.58,14.01
151.07,28.76,46.2,16.78,7.45
151.08,25.68,46.76,12.56,8.96
160.01,26.27,50.14,11.68,10.01
160.02,28.15,45.94,15.49,7.97
160.03,56,91.75,33.41,14.98
160.04,49.38,79.66,28.57,13.59
161.02,41.4,71.34,22.33,12.61
161.03,51.56,85.07,29.67,14.52
161.05,31.01,55.04,15.9,10.28
161.06,51.42,85.37,29.4,14.28
161.08,28.7,61.21,11.4,13.45
161.09,38.27,60.83,23.03,9.66
162.01,53.64,90.49,29.88,15.57
162.02,33.29,61.09,16.41,11.66
162.03,30.37,52.9,15.84,9.72
162.04,30.71,59.34,14.77,11.2
163.01,43.52,82.96,20.45,16.11
163.04,55.41,95.09,29.01,17.53
163.05,42.71,74.8,21.79,13.76
163.06,25.73,49.72,11.65,9.95
163.07,41.85,75.07,21.54,13.84
163.08,44.22,81.22,20.89,15.82
170.03,35.97,57.58,21.13,9.16
170.04,57.02,85.32,35.35,13.08
170.05,32.79,56,18.38,9.7
170.07,52.91,80.23,33.24,12.32
180.01,85.91,133.82,51.17,21.89
180.04,34.14,55.39,19.74,9.25
181.03,37.37,63.76,19.76,11.41
181.05,38.09,57.95,24.44,8.49
181.07,23.07,43.8,10.28,8.82
181.08,34.49,65.71,15.39,13.02
181.09,39.77,65.04,23.56,10.64
181.11,37.63,64.58,20.19,11.69
181.12,29.32,57.22,12.84,11.69
181.13,31.64,50.62,18.79,8.16
181.14,34.31,59.51,18.32,10.8
181.16,22.87,38.11,12.43,6.69
182.01,41.26,71.11,21.46,13.06
182.04,46.27,77.02,25.16,13.94
182.05,36.25,63.45,18.03,11.58
183.01,36.52,65.84,17.99,12.38
183.03,41.35,68.22,23.82,11.56
183.05,25.78,46.21,13.55,8.42
183.06,31.97,55.33,17.55,9.86
183.07,39.56,71.18,20.44,12.56
184.02,32.42,54.57,18.03,9.49
184.06,37.78,69.45,17.97,13.4
184.07,43.08,70.73,24.3,11.73
184.08,37.92,71.62,17.99,13.87
184.09,48.84,91.39,23.26,17.5
184.1,47.93,90.83,23.94,16.9
184.11,40.22,73.11,19.62,13.92
184.12,46.73,85.67,22.81,16.27
184.13,29.2,58.41,12.74,11.79
184.14,40.19,84.84,17.7,17.45
184.15,36.34,70.94,16.54,14.26
184.16,48.26,86.66,23.94,16.33
