CT,year,sex,ex_mean,ex_lb,ex_ub
149.02,1991,3,80.61,78.59,82.67
149.05,1991,1,77.40,74.82,80.56
149.05,1991,2,83.22,79.97,87.20
149.05,1991,3,80.10,78.11,82.46
149.08,1991,1,80.62,78.21,83.50
149.08,1991,2,84.19,81.48,87.50
149.08,1991,3,82.63,80.67,84.88
149.09,1991,1,77.60,75.00,80.54
149.09,1991,2,83.69,80.64,87.55
149.09,1991,3,80.53,78.48,82.96
150,1991,1,78.14,74.70,82.16
150,1991,2,83.00,79.23,87.92
150,1991,3,80.59,77.95,83.61
151.03,1991,1,77.43,74.75,80.51
151.03,1991,2,85.55,82.04,89.69
151.03,1991,3,81.29,79.02,83.85
151.05,1991,1,77.33,74.95,79.74
151.05,1991,2,81.15,79.09,83.59
151.05,1991,3,79.30,77.77,80.97
151.07,1991,1,76.67,74.41,79.17
151.07,1991,2,85.29,82.47,88.26
151.07,1991,3,80.93,79.22,83.02
151.08,1991,1,80.44,77.57,83.91
151.08,1991,2,87.30,83.84,91.52
151.08,1991,3,83.64,81.21,86.36
160.01,1991,1,79.87,77.54,82.68
160.01,1991,2,84.08,81.48,87.16
160.01,1991,3,81.85,79.93,83.82
160.02,1991,1,79.81,77.68,82.51
160.02,1991,2,83.46,80.94,86.29
160.02,1991,3,81.64,79.95,83.42
160.03,1991,1,78.35,76.44,80.34
160.03,1991,2,82.33,80.36,84.47
160.03,1991,3,80.59,79.04,82.10
160.04,1991,1,80.09,77.74,82.83
160.04,1991,2,85.68,82.67,88.99
160.04,1991,3,82.88,81.02,84.97
161.02,1991,1,74.05,71.88,76.42
161.02,1991,2,82.54,79.59,85.79
161.02,1991,3,78.33,76.52,80.20
161.03,1991,1,76.75,74.54,79.11
161.03,1991,2,80.59,78.59,82.84
161.03,1991,3,78.58,77.19,80.16
161.05,1991,1,76.52,74.16,79.10
161.05,1991,2,82.14,79.77,84.99
161.05,1991,3,79.33,77.56,81.27
161.06,1991,1,74.43,72.16,76.83
161.06,1991,2,79.46,77.00,82.09
161.06,1991,3,76.92,75.13,78.71
161.08,1991,1,87.48,83.06,93.03
161.08,1991,2,84.17,81.32,87.80
161.08,1991,3,84.91,82.51,87.78
161.09,1991,1,78.08,75.89,80.57
161.09,1991,2,78.84,76.74,81.18
161.09,1991,3,78.15,76.64,79.66
162.01,1991,1,77.34,75.00,79.97
162.01,1991,2,80.38,77.85,83.39
162.01,1991,3,78.76,77.08,80.54
162.02,1991,1,78.42,75.87,81.39
162.02,1991,2,81.72,78.93,84.94
162.02,1991,3,80.06,78.05,82.14
162.03,1991,1,77.44,74.79,80.36
162.03,1991,2,81.82,79.05,85.08
162.03,1991,3,79.81,77.78,81.90
162.04,1991,1,78.90,76.61,81.44
162.04,1991,2,81.87,79.40,84.71
162.04,1991,3,80.39,78.61,82.27
163.01,1991,1,79.84,76.70,83.68
163.01,1991,2,80.45,77.70,83.72
163.01,1991,3,79.87,77.84,82.31
163.04,1991,1,77.49,74.89,80.54
163.04,1991,2,80.26,77.75,83.25
163.04,1991,3,78.73,76.81,80.88
163.05,1991,1,75.47,72.86,78.31
163.05,1991,2,81.25,78.43,84.51
163.05,1991,3,78.47,76.54,80.75
163.06,1991,1,78.94,75.90,82.45
163.06,1991,2,84.68,81.54,88.72
163.06,1991,3,81.95,79.68,84.69
163.07,1991,1,76.77,74.01,79.96
163.07,1991,2,84.20,80.88,87.94
163.07,1991,3,80.31,78.19,82.82
163.08,1991,1,78.76,75.94,82.49
163.08,1991,2,82.72,79.59,86.19
163.08,1991,3,80.76,78.58,83.33
170.03,1991,1,73.13,70.59,75.44
170.03,1991,2,84.11,81.37,87.12
170.03,1991,3,78.39,76.46,80.22
170.04,1991,1,80.17,78.16,82.38
170.04,1991,2,85.37,83.34,87.73
170.04,1991,3,83.06,81.63,84.52
170.05,1991,1,72.12,69.36,74.80
170.05,1991,2,82.00,78.94,85.33
170.05,1991,3,76.91,74.77,79.13
170.07,1991,1,74.05,72.10,75.91
170.07,1991,2,79.25,77.72,80.88
170.07,1991,3,76.81,75.54,78.10
180.01,1991,1,79.64,76.42,83.19
180.01,1991,2,78.50,75.79,81.88
180.01,1991,3,79.03,76.82,81.43
180.04,1991,1,82.01,79.53,85.02
180.04,1991,2,85.56,82.74,88.57
180.04,1991,3,83.67,81.87,85.76
181.03,1991,1,77.56,75.34,80.07
181.03,1991,2,82.27,79.73,85.04
181.03,1991,3,80.02,78.31,81.91
181.05,1991,1,76.49,74.47,78.52
181.05,1991,2,83.42,81.17,85.91
181.05,1991,3,79.91,78.41,81.38
181.07,1991,1,80.88,78.14,83.95
181.07,1991,2,83.53,80.33,86.93
181.07,1991,3,82.24,80.14,84.50
181.08,1991,1,78.47,75.67,81.61
181.08,1991,2,84.76,81.69,88.19
181.08,1991,3,81.55,79.43,83.83
181.09,1991,1,79.75,77.61,82.16
181.09,1991,2,83.92,81.84,86.40
181.09,1991,3,81.88,80.30,83.52
181.11,1991,1,76.48,74.08,79.14
181.11,1991,2,82.48,79.69,86.00
181.11,1991,3,79.48,77.62,81.58
181.12,1991,1,83.73,80.32,87.89
181.12,1991,2,87.95,84.22,92.68
181.12,1991,3,85.77,83.23,88.84
181.13,1991,1,80.35,78.15,82.92
181.13,1991,2,87.04,84.30,90.11
181.13,1991,3,83.72,81.84,85.90
181.14,1991,1,77.62,74.65,81.16
181.14,1991,2,80.99,77.47,84.83
181.14,1991,3,79.20,76.95,81.70
181.16,1991,1,83.77,81.71,86.26
181.16,1991,2,85.95,83.73,88.51
181.16,1991,3,84.83,83.31,86.56
182.01,1991,1,81.30,78.34,85.11
182.01,1991,2,83.59,80.49,87.50
182.01,1991,3,82.30,80.18,84.75
182.04,1991,1,74.96,72.78,77.54
182.04,1991,2,79.29,76.89,82.06
182.04,1991,3,76.96,75.28,78.74
182.05,1991,1,77.86,74.92,81.04
182.05,1991,2,82.29,79.17,86.11
182.05,1991,3,79.93,77.79,82.56
183.01,1991,1,76.81,74.21,79.65
183.01,1991,2,81.70,78.67,85.25
183.01,1991,3,79.07,77.06,81.28
183.03,1991,1,74.18,71.98,76.39
183.03,1991,2,80.68,78.40,83.16
183.03,1991,3,77.49,75.71,79.28
183.05,1991,1,86.54,83.36,90.18
183.05,1991,2,84.92,81.96,88.45
183.05,1991,3,85.22,82.92,87.80
183.06,1991,1,76.45,73.90,79.40
183.06,1991,2,87.60,84.60,90.96
183.06,1991,3,82.08,80.03,84.44
183.07,1991,1,80.31,77.69,83.36
183.07,1991,2,83.27,80.39,86.91
183.07,1991,3,81.67,79.57,84.14
184.02,1991,1,73.82,71.34,76.50
184.02,1991,2,83.89,80.89,87.47
184.02,1991,3,78.42,76.56,80.51
184.06,1991,1,75.80,72.50,79.44
184.06,1991,2,82.62,79.18,86.89
184.06,1991,3,79.13,76.65,82.09
184.07,1991,1,73.32,70.97,76.05
184.07,1991,2,78.10,75.54,81.04
184.07,1991,3,75.66,73.90,77.72
184.08,1991,1,79.34,76.24,83.27
184.08,1991,2,85.34,81.84,89.85
184.08,1991,3,82.33,79.86,85.36
184.09,1991,1,79.09,75.76,83.26
184.09,1991,2,86.21,82.46,91.12
184.09,1991,3,82.60,80.01,85.57
184.1,1991,1,76.96,73.76,80.14
184.1,1991,2,81.89,78.40,86.13
184.1,1991,3,79.47,77.01,82.38
184.11,1991,1,77.28,73.76,81.43
184.11,1991,2,81.20,77.32,85.72
184.11,1991,3,79.24,76.66,82.11
184.12,1991,1,76.65,73.15,80.56
184.12,1991,2,80.84,77.45,84.95
184.12,1991,3,78.51,76.04,81.51
184.13,1991,1,76.97,74.09,80.63
184.13,1991,2,80.61,77.17,84.47
184.13,1991,3,78.71,76.58,81.27
184.14,1991,1,78.80,75.03,83.51
184.14,1991,2,80.56,76.79,85.28
184.14,1991,3,79.40,76.78,82.65
184.15,1991,1,80.21,76.90,84.15
184.15,1991,2,79.94,77.17,83.24
184.15,1991,3,79.88,77.62,82.50
184.16,1991,1,78.16,74.98,81.55
184.16,1991,2,84.90,81.19,89.14
184.16,1991,3,81.40,78.85,84.21
185.05,1991,1,75.77,72.95,79.36
185.05,1991,2,79.15,76.01,82.30
185.05,1991,3,77.58,75.37,79.97
185.07,1991,1,79.01,76.29,82.49
185.07,1991,2,85.38,81.99,89.58
185.07,1991,3,82.10,79.78,84.85
185.08,1991,1,78.64,75.36,82.49
185.08,1991,2,83.83,80.07,88.94
185.08,1991,3,81.19,78.56,84.32
185.09,1991,1,75.84,72.99,78.79
185.09,1991,2,81.90,78.54,85.88
185.09,1991,3,78.70,76.41,81.05
185.1,1991,1,80.55,76.97,84.84
185.1,1991,2,84.22,80.62,88.79
185.1,1991,3,82.44,79.78,85.58
185.11,1991,1,78.77,75.49,82.65
185.11,1991,2,87.27,83.56,91.75
185.11,1991,3,82.85,80.17,85.72
185.12,1991,1,78.50,75.47,81.59
185.12,1991,2,83.43,80.29,87.56
185.12,1991,3,80.98,78.84,83.53
185.15,1991,1,73.69,70.89,76.50
185.15,1991,2,80.61,77.34,84.44
185.15,1991,3,76.80,74.70,79.09
185.16,1991,1,77.69,74.59,81.38
185.16,1991,2,82.19,78.79,86.47
185.16,1991,3,79.86,77.36,82.59
185.17,1991,1,77.80,74.97,81.13
185.17,1991,2,86.04,82.62,90.65
185.17,1991,3,81.55,79.11,84.19
185.18,1991,1,77.06,74.13,80.20
185.18,1991,2,84.32,80.84,88.53
185.18,1991,3,80.51,78.14,82.99
185.19,1991,1,77.54,74.13,81.25
185.19,1991,2,83.07,79.37,87.45
185.19,1991,3,80.28,77.72,83.14
185.2,1991,1,80.02,75.90,85.16
185.2,1991,2,86.16,81.89,91.98
185.2,1991,3,82.83,79.72,86.41
185.21,1991,1,77.33,74.49,80.20
